,Employee Name,ID,Gender,Age,Married,Role,Salary,Position,Absences,Projects_Completed,Mean Monthly Hours,Years in the company,Joining_Year,Current_Employ_Rating,Moral,Stress & Burnout Score,Ongoing_Project_Count,Projects_Within_Deadline,Project_Start_Date,Project_Description,Project_Difficulty,Project_Deadline,Manager_ID,Completion_Time
134,Riya Gupta,133,Female,25,Bachelor,HR,"1,20,000",Junior,5,11,160,4,2020,8,Low,4,5,14,15/10/2023,Develop and manage rewards system for the team according to performance metrics,Medium,1/11/2022,2,352
135,Raj Malhotra,134,Male,32,Married,Backend Developer,"2,80,000",Senior,5,65,153,10,2012,7,Very High,4,3,54,4/7/2023,Design a secure socket layer for a customer authentication system,High,2/8/2023,4,26
136,Maximillian Jameson,135,Male,47,Married,Backend Developer,"2,83,500",Senior,8,54,149,28,1992,3,High,3,2,36,2/11/2023,Designing web applications for users to access data and analytics stored in the database,High,13/11/2023,4,9
137,Ishaan Singh,136,Male,22,Bachelor,Frontend Developer,"1,20,000",Junior,4,14,143,1,2024,8,Low,3,2,16,25/11/2023,Design and develop an efficient Frontend web application structure,Medium,9/12/2023,1,17
138,Kavya Gupta,137,Female,39,Married,HR,"1,70,000",Senior,15,28,368,16,2004,5,Low,3,3,26,10/9/2023,Organize team activities for improving the bond among team members and increase team efficiency,Low,15/10/2023,2,33
139,Nishant Gupta,138,Male,24,Bachelor,Frontend Developer,"1,30,000",Junior,0,24,198,2,2021,7,Low,4,5,3,22/9/2023,Design mockups and attractively positioned elements on the website,Low,29/9/2023,3,5
140,Himanshu Verma,139,Male,45,Married,Backend Developer,"3,80,000",Senior,10,64,202,25,1995,6,High,1,3,56,27/12/2023,Develop a secure user registration and login system with extra security measures,High,11/01/2024,4,17
141,Radhika Patil,140,Female,23,Bachelor,HR,"95,000",Junior,1,10,190,1,2022,10,Moderate,3,2,14,2/3/2023,Restructure the employee benefits and payroll system,Low,9/6/2023,2,92
142,Simran Sharma,141,Female,32,Married,HR,"1,80,000",Senior,7,22,234,9,2013,9,High,4,5,28,05/12/2019,Creating policies which form the basis of performance tracking,Medium,15/1/2024,2,1507
143,Shreya Mehta,142,Female,34,Married,HR,"1,25,000",Senior,5,24,164,8,2013,9,High,3,3,15,20/11/2023,Design and implement strategy for onboarding of new hires ensuring smooth transition to team dynamics,Medium,10/12/2023,2,20
144,Kabir Patel,143,Male,63,Married,Backend Developer,"3,50,000",Senior,11,77,202,22,1998,6,High,2,2,42,30/11/2023,Design a comprehensive system to keep track of inventory products,High,7/12/2023,4,3
145,Pankhuri Rai,144,Female,32,Married,HR,"1,80,000",Senior,3,35,132,8,2015,9,Very High,1,2,20,19/6/2023,Prepare weekly progress reports and analyze performance of team,Medium,25/7/2023,2,39
146,Kavita Sharma,145,Female,44,Married,HR,"2,50,000",Senior,8,58,99,15,2005,5,High,4,4,13,27/7/2023,Research and analyze different employee development plans,Medium,10/8/2022,2,355
147,Shubhangi Sharma,146,Female,32,Married,Backend Developer,"2,50,000",Senior,4,44,187,10,2011,8,Very High,3,3,30,10/10/2023,Design and maintain company’s intranet infrastructure,High,10/11/2025,4,758
148,Neha Verma,147,Female,32,Married,HR,"1,25,000",Senior,5,35,185,8,2014,8,Moderate,1,2,20,15/9/2023,Set up employee surveys and track feedback and monitor results,Medium,10/10/2023,2,28
149,Krishna Gopal,148,Male,30,Married,Backend Developer,"2,25,000",Senior,4,59,140,10,2011,7,High,1,1,42,21/5/2023,Design a system for communicating updates to different teams in the organization,Medium,21/6/2023,4,32
150,Abhishek Jha,149,Male,27,Married,Frontend Developer,"1,20,000",Senior,10,18,132,4,2018,8,Moderate,5,3,18,26/7/2023,Design the user interface and user experience to ensure easy navigation and usage,Medium,1/8/2023,1,6
151,Amita Pandey,150,Female,47,Married,Backend Developer,"3,50,000",Senior,10,58,201,20,1999,3,High,3,4,25,2/12/2023,Design and develop a comprehensive software module to ensure maximum scalability,High,26/12/2023,4,20
152,Gaurav Kumar,151,Male,25,Bachelor,Frontend Developer,"1,40,000",Senior,3,35,172,5,2019,7,High,1,4,32,20/9/2023,Create a live session for customer support and troubleshooting,High,30/9/2023,1,8
153,Ajay Kaur,152,Female,55,Married,HR,"2,00,000",Senior,5,24,288,20,2000,7,Moderate,2,4,39,11/12/2023,Interview and conduct background checks for potential hires and coordinate onboarding sessions,Low,22/12/2023,2,9
154,Kartik Bhaskar,153,Male,55,Married,Backend Developer,"2,60,000",Senior,6,62,148,18,2002,6,High,1,5,65,12/11/2023,Develop a secure database to store and process user authentication details,Medium,15/11/2023,4,4
155,Raman Chaudhary,154,Male,30,Married,Backend Developer,"2,35,000",Senior,7,54,192,11,2012,7,High,2,3,45,14/4/2023,Design and implement optimized database queries for high user volumes,Medium,28/4/2023,4,18
156,Ishita Verma,155,Female,32,Married,Backend Developer,"2,50,000",Senior,4,54,235,8,2013,7,High,2,2,29,5/5/2024,Design and implement database structure for storing and retrieving user data,High,12/6/2024,4,35
157,Suraj Patel,156,Male,27,Bachelor,Backend Developer,"1,75,000",Junior,2,30,177,5,2016,7,Moderate,3,1,23,9/10/2023,Design and implement a set of RESTful web services for Google Ads API,High,30/11/2023,4,47
158,Neha Agrawal,157,Female,22,Bachelor,R&D,"1,35,000",Junior,1,8,174,6,2016,8,High,2,2,23,27/10/2023,Study the difference between mobile metrics from Android to iOS,Medium,15/11/2023,5,19
159,Mateshwari Kaur,158,Female,32,Married,HR,"1,20,000",Senior,2,32,176,10,2012,7,High,1,3,24,22/12/2023,Arrange career counseling events and job fairs for unemployed youths,Medium,30/12/2023,2,9
160,Kriti Jain,159,Female,38,Married,HR,"1,25,000",Senior,3,12,152,17,2004,8,Moderate,3,3,10,11/8/2023,Develop and implement communication practices to ensure that all team members are properly informed regarding the scope of work and progress updates,Medium,30/8/2023,2,20
161,Eifa Ahmed,160,Female,36,Married,HR,"1,60,000",Senior,6,58,145,15,2007,6,High,3,3,15,1/8/2023,Design and implement different incentive schemes for the team members to improve workplace productivity,Medium,15/9/2023,2,42
162,Jasmine Jain,161,Female,39,Married,Backend Developer,"2,50,000",Senior,1,33,157,14,2007,6,High,2,3,43,25/7/2023,Design server models for data processing and storage,High,8/9/2023,4,38
163,Varun Srivastava,162,Male,25,Bachelor,Frontend Developer,"1,25,000",Senior,7,32,145,7,2016,8,High,1,3,22,03/11/2023,Develop a UI/UX interface to improve customer shopping experience,Medium,15/9/2023,3,52
164,Aman Rana,163,Male,35,Married,Backend Developer,"3,20,000",Senior,8,65,240,15,2009,8,Very High,4,6,23,4/7/2023,Develop a secure user authentication system relying on biometric data,High,20/7/2023,4,12
165,Nazir Ansari,164,Male,51,Married,Backend Developer,"2,50,000",Senior,5,53,305,18,2002,5,High,2,2,35,8/7/2023,Update existing databases and extract useful analytics,High,25/7/2023,4,16
166,Nishit Shah,165,Male,44,Married,Backend Developer,"3,25,000",Senior,7,78,114,15,2005,9,Very High,4,5,12,20/7/2023,Develop new algorithms and modules to speed up the AI processing time,High,15/7/2023,4,3
167,Kabir Tandon,166,Male,33,Married,Backend Developer,"2,08,750",Senior,1,48,195,10,2011,8,Very High,4,4,46,19/8/2023,Develop a secure system for file transfer and data storage,High,10/9/2023,4,17
168,Prateek Patel,167,Male,31,Married,Frontend Developer,"1,80,000",Senior,4,37,241,8,2013,9,High,2,4,25,10/7/2023,Develop a secure login system and integrate it into the existing website,Medium,15/8/2023,1,39
169,Pavitra Rao,168,Female,62,Married,HR,"1,90,000",Senior,4,15,205,18,2002,10,Moderate,3,2,20,17/5/2023,Arranging bi-annual team meetings for discussing progress updates and addressing any issues faced by the team,Low,1/6/2023,2,12
170,Neha Mehta,169,Female,25,Married,HR,"1,20,000",Junior,3,18,230,4,2018,8,Moderate,3,4,6,20/4/2023,Manage employee vacations and compensatory leaves,Low,17/5/2023,2,22
171,Neha Rathi,170,Female,29,Married,HR,"1,25,000",Senior,4,19,227,3,2019,9,High,3,4,16,11/2/2023,Monitor coordinate and facilitate connection of remote workers with the centralized office,Medium,21/6/2023,2,129
172,Disha Rao,171,Female,29,Married,Backend Developer,"2,50,000",Senior,6,49,198,10,2012,9,High,5,4,50,20/9/2023,Develop a secure payment processing system for customer transactions,Medium,10/11/2022,4,315
173,Mohit Gupta,172,Male,64,Married,Backend Developer,"2,50,000",Senior,9,81,194,16,2008,7,Very High,3,5,46,8/8/2023,Develop a secure customer loyalty system for use in the mobile app,High,30/9/2023,4,49
174,Yash Verma,173,Male,32,Married,Backend Developer,"3,00,000",Senior,7,65,231,14,2007,9,High,4,3,39,8/7/2023,Develop a secure user registration and login system ensuring superior user experience through artificial intelligence,High,20/8/2023,4,38
175,Riya Sharma,174,Female,31,Married,HR,"3,50,000",Senior,7,86,198,11,2010,8,High,4,4,25,25/9/2020,Schedule regular workshops regarding performance improvement metrics and techniques,Medium,30/9/2020,2,6
176,Mihir Sharma,175,Male,38,Married,Backend Developer,"3,00,000",Senior,1,40,226,13,2007,6,Very High,2,2,57,20/9/2023,Create an automated data-collection system Image Recognition to store user data,High,7/10/2023,4,12
177,Neeraj Sinha,176,Male,44,Married,Backend Developer,"3,50,000",Senior,8,64,190,18,2002,8,High,2,1,40,30/5/2023,Design and implement database structure for storing and retrieving user data,High,10/10/2023,4,125
178,Michael Thomas,177,Male,33,Married,Frontend Developer,"2,00,000",Senior,3,45,198,8,2011,7,High,1,1,20,20/8/2023,Design and build a comprehensive search system with search engine optimization,Medium,27/8/2023,5,6
179,Raj Patel,178,Male,30,Married,Backend Developer,"2,25,000",Senior,4,55,222,11,2009,9,High,1,4,40,5/7/2023,Design and build scalability plans for website architecture to accommodate growing user demands,High,30/7/2023,4,23
180,Neha Valecha,179,Female,44,Married,HR,"1,50,000",Senior,4,32,284,15,2007,9,Moderate,4,1,17,27/8/2023,Create and monitor the organization’s performance review program for all teams,Medium,30/9/2023,2,32
181,Ranjit Singh,180,Male,32,Married,Backend Developer,"2,40,000",Senior,2,45,132,10,2010,9,High,2,3,59,26/9/2023,Design and implement a secure mobile app with integrated features for facial recognition and authentication,Medium,1/10/2023,4,8
182,Mohit Verma,181,Male,43,Married,Backend Developer,"2,60,000",Senior,6,70,159,15,2005,8,High,2,3,65,21/6/2023,Develop a secure database system to keep track of user data and records,High,30/6/2023,4,5
183,Abhay Agarwal,182,Male,33,Married,Backend Developer,"2,50,000",Senior,2,51,178,11,2009,7,High,2,3,38,10/7/2023,Design and implement database structure for storing and retrieving user data,Medium,17/7/2023,4,8
184,Nitin Saxena,183,Male,24,Bachelor,Frontend Developer,"1,20,000",Junior,5,16,177,4,2021,7,Very Low,5,3,25,15/7/2023,Develop a responsive web page with intuitive UX elements,Medium,7/8/2023,3,20
185,Mohit Sethi,184,Male,36,Married,Backend Developer,"2,70,000",Senior,4,65,202,15,2008,9,Very High,3,1,37,3/7/2023,Refactor the existing code ensuring smooth operation and compatibility with new features,High,12/7/2023,4,5
186,Ekta Malik,185,Female,28,Married,HR,"1,10,000",Senior,6,44,163,8,2015,7,Moderate,3,1,18,30/10/2023,Organizing online events and awards programs to promote an engaging working culture for the team,Low,7/11/2023,2,4
187,Kartik Rao,186,Male,33,Married,Frontend Developer,"1,80,000",Senior,5,35,141,9,2012,7,High,2,3,25,8/6/2023,Develop web scraper for aggregating data from competitor websites,Medium,18/7/2023,1,44
188,Anupam Raj,187,Male,33,Married,Backend Developer,"2,80,000",Senior,3,55,230,15,2008,8,Very High,3,5,38,20/11/2023,Design and develop fail-safe restoration and backup protocols for the website,High,3/12/2023,4,8
189,Dhruv Bagga,188,Male,31,Married,Backend Developer,"2,60,000",Senior,7,69,174,14,2008,8,High,2,3,40,30/9/2023,Design and debug large scale software applications,High,17/10/2023,4,15
190,Akshay Patil,189,Male,53,Married,Backend Developer,"2,45,000",Senior,8,93,409,18,2003,7,High,4,2,33,19/10/2023,Design and build an automated user authentication system,High,25/10/2023,4,5
191,Ragini Verma,190,Female,22,Bachelor,HR,"1,25,000",Junior,5,7,199,3,2021,7,High,4,2,6,22/6/2023,Develop an internal system to track employee performance and satisfaction,Medium,25/6/2023,2,4
192,Anjali Dave,191,Female,37,Married,HR,"2,20,000",Senior,2,48,183,11,2011,9,High,1,3,18,10/12/2023,Design and implement performance evaluation and recognition processes for employees,Medium,20/12/2023,2,12
193,Rajesh Mehta,192,Male,52,Married,Backend Developer,"3,50,000",Senior,12,77,385,16,2006,4,High,2,2,50,22/9/2023,Design and implement algorithms for database interaction and optimization,High,8/10/2022,4,347
194,Raghav Gupta,193,Male,55,Married,Backend Developer,"3,50,000",Senior,2,44,130,23,1998,8,High,4,3,57,13/11/2023,Design and implement robust security algorithms for data encryption and access control,Medium,20/11/2023,4,6
195,Kartik Gupta,194,Male,32,Married,Frontend Developer,"1,25,000",Senior,4,29,160,7,2016,8,High,2,4,28,30/5/2024,Design the user interface and user experience to ensure easy navigation and usage,High,5/7/2024,1,32
196,Pooja Sinha,195,Female,35,Married,Backend Developer,"2,15,000",Senior,7,53,128,10,2011,9,Very High,1,2,38,4/7/2023,Design a secure payment gateway integration for the website,High,26/8/2023,3,51
197,Udit Shetty,196,Male,32,Married,Backend Developer,"2,50,000",Senior,4,40,150,12,2008,9,High,2,4,43,24/8/2023,Develop a secure user registration and login system,High,8/9/2023,4,11
198,Nikhil Shukla,197,Male,44,Married,Backend Developer,"2,00,000",Senior,15,65,183,20,1999,6,High,3,4,47,15/7/2023,Develop algorithms to generate personalized recommendations for the end-user,High,14/8/2023,3,24
199,Sonal Khanna,198,Female,32,Married,HR,"1,75,000",Senior,5,24,198,8,2015,7,Moderate,3,5,19,21/8/2023,Create onboarding documents and employees handbooks for new hires,Medium,17/9/2023,2,25
200,Amrita Singh,199,Female,45,Married,HR,"1,50,000",Senior,8,57,216,15,2005,7,Moderate,2,2,8,4/10/2023,Arranging monitoring and analyzing employee performance and providing feedback,Low,16/11/2021,2,686
201,Leonard Charles,200,Male,50,Married,Backend Developer,"2,50,000",Senior,5,55,187,15,2005,6,Very High,2,2,49,15/8/2023,Design and implement database structure for storing and retrieving user data,High,1/10/2023,4,41
202,Tara Pujari,201,Female,44,Married,HR,"1,50,000",Senior,3,19,199,16,2004,6,Moderate,3,2,12,2/2/2024,Drafting and implementing policies and procedures in the organization,Medium,14/3/2024,2,40
203,Avani Mehta,202,Female,43,Married,HR,"1,80,000",Senior,7,60,235,15,2007,9,High,4,0,5,20/8/2023,Generate an employee engagement plan and strategize onboarding activities,Medium,10/9/2023,2,20
204,Anusha Sharma,203,Female,29,Married,HR,"1,15,000",Senior,3,34,231,5,2018,7,Low,3,2,9,18/7/2023,Arranging interview and evaluation sessions for prospective employees,Medium,25/7/2023,2,5
205,Nidhi Sachdev,204,Female,55,Married,HR,"6,50,000",Senior,7,23,265,25,1995,4,Moderate,3,0,5,16/4/2023,Arrange internal and external workshops for young workforce to help them grow,Low,9/4/2023,2,3
206,Sonam Singh,205,Female,27,Married,HR,"1,15,000",Senior,4,12,181,3,2021,9,High,3,4,13,13/11/2023,Customize and optimize the current recruitment system for faster and accessible candidate reviews,Medium,24/11/2023,2,10
207,Siddharth Mahajan,206,Male,35,Married,Backend Developer,"3,50,000",Senior,4,59,198,18,2002,9,Very High,3,4,45,14/11/2023,Design and implement database structures for storing and retrieving web-based user data,High,21/11/2023,4,4
208,Nancy Sharma,207,Female,30,Married,Backend Developer,"2,25,000",Senior,8,55,149,8,2019,7,High,4,3,33,5/7/2023,Design a system for efficient user authorization and storage of sensitive user data,High,26/7/2023,4,18
209,Parkash Sinha,208,Male,37,Married,Frontend Developer,"1,45,000",Senior,7,55,189,8,2015,6,Moderate,3,1,25,15/3/2023,Integration of a machine learning algorithm into an existing system to automate performance tracking and optimization,Medium,15/8/2023,1,150
210,Ankit Raj,209,Male,22,Bachelor,Frontend Developer,"1,10,000",Junior,2,10,184,4,2018,5,High,1,1,23,25/10/2023,Developing search features to allow website visitors to quickly access content,Medium,14/11/2023,3,22
211,Riya Patil,210,Female,29,Married,HR,"1,20,000",Senior,8,24,211,7,2017,6,Moderate,4,4,24,25/6/2023,Developing a company wide system for tracking customer feedback and employee reviews,Medium,1/8/2023,2,37
212,Akshay Mehta,211,Male,33,Married,Backend Developer,"2,20,000",Senior,7,59,120,10,2011,10,Very High,2,4,16,21/7/2023,Analyzing user data and developing personalized recommendation features,High,5/8/2023,4,9
213,Samant Chaudhary,212,Male,26,Bachelor,Backend Developer,"1,50,000",Junior,4,20,100,4,2019,7,High,1,4,29,12/4/2023,Develop a secure authentication and authorization system,Medium,30/5/2023,4,50
214,Vikram Joshi,213,Male,55,Married,Backend Developer,"3,00,000",Senior,5,56,171,16,2004,7,High,2,7,40,4/7/2023,Design a secure login/ authentication system for the application,High,17/7/2023,4,9
215,Harshita Bhardwaj,214,Female,24,Bachelor,Frontend Developer,"1,15,000",Senior,7,20,162,4,2020,7,High,3,4,24,1/10/2023,Designed webpage layouts and other visual elements to enhance website functionality,Medium,7/10/2023,1,5
216,Sonia Mehta,215,Female,33,Married,R&D,"1,70,000",Senior,3,57,205,10,2011,7,High,5,4,20,6/6/2023,Design a prototype of a concept to illustrate the customer-facing features by creating a mock-up of the user interface,Medium,16/6/2023,5,9
217,Divyansh Gupta,216,Male,32,Married,Backend Developer,"3,10,000",Senior,6,56,204,10,2013,7,High,4,3,34,4/8/2023,Develop a secure customer registration and authentication system,High,11/8/2023,4,4
218,Kabir Sharma,217,Male,33,Married,Backend Developer,"3,00,000",Senior,5,55,110,15,2009,7,High,3,4,50,5/12/2023,Design a secure network architecture for a fully automated home system,High,15/1/2024,4,42
219,Manas Karthik,218,Male,42,Married,Backend Developer,"2,80,000",Senior,5,48,206,15,2005,9,High,3,0,44,20/3/2024,Create a highly secure administrative interface which restricts access to confidential company information,High,28/6/2024,4,93
220,Aakash Sharma,219,Male,32,Married,Backend Developer,"2,60,000",Senior,7,56,148,11,2011,9,Very High,4,3,45,25/8/2023,Develop document database for long-term efficient storage and retrieval,High,31/8/2023,4,3
221,Monica Sharma,220,Female,31,Married,HR,"1,50,000",Senior,4,18,202,7,2015,7,Moderate,3,2,25,17/11/2023,Organize team events to improve employee morale and foster camaraderie,Low,30/12/2023,2,40
222,Neha Shukla,221,Female,35,Married,HR,"1,25,000",Senior,3,32,299,10,2014,8,Moderate,1,5,11,19/1/2023,Train new hires in company policies and procedures concerning customer relations,High,21/12/2021,2,396
223,Yash Arora,222,Male,24,Bachelor,Backend Developer,"1,70,000",Junior,0,48,201,1,2023,7,Moderate,4,3,30,5/4/2023,Create an automated system for ticketing and customer support,High,28/4/2023,4,18
224,Sadanand Patil,223,Male,32,Married,Backend Developer,"2,60,000",Senior,1,39,145,11,2009,9,High,2,1,45,4/7/2023,Develop the backend architecture such as the server and database structures to provide security and scalability,High,18/12/2022,4,197
225,Riddhi Agarwal,224,Female,32,Married,HR,"1,50,000",Senior,5,30,140,15,2008,9,High,3,3,8,4/9/2023,Facilitate the recruitment process and maintain employee records,Medium,11/6/2023,2,86
226,Tanya Patel,225,Female,22,Bachelor,Frontend Developer,"1,25,000",Junior,3,15,135,1,2024,8,Moderate,3,2,16,10/2/2023,Develop user friendly mobile applications,Medium,21/2/2023,1,10
227,Devika Rajan,226,Female,42,Married,HR,"1,20,000",Senior,5,45,132,15,2008,9,Very High,2,4,8,1/9/2023,Set clear compliance expectations for teams and ensure they are communicated and enforced,Medium,16/9/2023,2,16
228,Kabir Naik,227,Male,45,Married,Backend Developer,"3,00,000",Senior,3,68,218,22,1998,4,Moderate,2,0,45,19/7/2022,Develop a secure user registration and login system,High,10/8/2022,4,19
229,Neel Patel,228,Male,32,Married,Backend Developer,"2,10,000",Senior,7,55,206,9,2012,5,High,4,1,15,1/10/2023,Design and optimize web applications to run on various browsers,High,10/10/2023,4,7
230,Tina Malhotra,229,Female,55,Married,HR,"1,50,000",Senior,4,26,250,17,2000,3,Low,1,1,9,7/10/2023,Recruiting potential candidates and training new employees,Low,17/9/2023,2,18
231,Nitin Joshi,230,Male,45,Married,Backend Developer,"3,00,000",Senior,3,70,156,15,2005,7,High,1,2,45,07/07/0202,Develop an effective system for tracking stock availability,Medium,15/9/2023,4,664732
232,Neha Joshi,231,Female,27,Married,Backend Developer,"2,20,000",Senior,4,34,211,5,2018,8,High,1,4,38,9/11/2023,Design a secure user registration and login system to enable seamless access to customer's data,High,1/11/2023,4,5
233,Bhavika Jain,232,Female,45,Married,HR,"1,75,000",Senior,6,28,431,20,2000,6,Moderate,2,2,23,22/10/2023,Conducting regular performance reviews and recommending improvements where needed,High,10/11/2023,2,16
234,Vidya Iyengar,233,Female,48,Married,HR,"2,00,000",Senior,4,35,135,25,1996,7,High,1,2,5,21/5/2023,Organizing and coordinating employee engagement activities,Medium,24/7/2023,2,67
235,Ranveer Singh,234,Male,45,Married,Backend Developer,"3,00,000",Senior,8,58,248,19,2000,7,Very High,5,3,35,7/10/2023,Develop a secure user registration and login system,High,15/10/2023,4,5
236,Rahul Bose,235,Male,32,Married,Frontend Developer,"1,20,000",Junior,3,21,112,7,2019,7,High,1,0,3,20/4/2023,Implement interactive webpages using HTML and CSS,Medium,25/2/2023,1,53
237,Nishant Bajaj,236,Male,48,Married,Backend Developer,"2,80,000",Senior,9,68,343,18,2003,7,Very High,3,3,70,7/7/2023,Create an automated monitoring system for user performance,High,1/8/2023,4,20
238,Neil Chaudhary,237,Male,30,Married,Backend Developer,"3,25,000",Senior,7,73,56,15,2005,10,Very High,1,2,36,20/9/2023,Implement machine learning algorithms to predict customer transactions,High,21/12/2022,4,269
239,Nirav Mehta,238,Male,33,Married,Backend Developer,"3,50,000",Senior,1,57,188,9,2012,7,Very High,3,4,40,20/3/2024,Develop an automated heuristics process for user identification,Low,25/3/2024,4,3
240,Sonia Verma,239,Female,35,Married,HR,"1,50,000",Senior,5,24,350,14,2009,9,High,3,1,6,25/8/2023,Initiate and organize employee engagement initiatives for maintaining a positive outlook among the team,Medium,20/8/2023,2,6
241,Neelima Gupta,240,Female,43,Married,HR,"2,00,000",Senior,3,39,310,15,2005,6,High,3,1,23,3/2/2020,Create a antivirus checking system to identify any malicious files in the user login flow,High,12/3/2023,2,1133
242,Neeraj Bhatia,241,Male,43,Married,Backend Developer,"3,00,000",Senior,4,51,189,9,2012,6,Very High,4,4,50,16/12/2023,Design and develop the first-class customer service system to ensure customer satisfaction,High,20/1/2024,4,35
243,Sandeep Patil,242,Male,33,Married,HR,"1,30,000",Senior,1,35,216,10,2012,6,High,5,4,9,8/4/2023,Create a flexible employee vacation policy and administer feedback from employees on changes,Medium,11/6/2023,2,63
244,Anushka Gupta,243,Female,32,Married,HR,"1,25,000",Senior,9,35,219,7,2014,8,Moderate,4,1,16,10/11/2023,Develop and implement strategies to increase employee morale,Low,15/12/2023,2,30
245,Sayantan Banerjee,244,Male,45,Married,Backend Developer,"4,10,000",Senior,9,79,263,18,2002,5,High,2,2,55,30/10/2023,Design and implement database structure for storing and retrieving user data,High,20/12/2023,4,49
246,Riya Bansal,245,Female,29,Married,HR,"1,20,000",Senior,7,25,155,9,2011,6,Moderate,3,2,8,12/11/2022,Create team processes and handbooks to ensure efficiency and accuracy in the services offered by the team,Medium,20/12/2022,2,37
247,Radhika Gupta,246,Female,36,Married,Backend Developer,"3,00,000",Senior,6,57,193,15,2006,8,Very High,3,3,45,24/7/2023,Develop and optimize database queries and restructuring of existing models,Medium,25/8/2023,3,35
248,Amit Raj,247,Male,35,Married,Backend Developer,"2,50,000",Senior,1,39,212,8,2017,9,Very High,3,3,20,10/10/2023,Design and implement a system to improve the scalability of our service,High,18/11/2023,4,33
249,Anushka Chaudhary,248,Female,25,Married,Frontend Developer,"1,50,000",Senior,3,35,167,5,2018,8,High,2,1,30,21/4/2023,Design a personalized user interface for the website that transitions smoothly between different pages and features,Medium,28/4/2023,1,9
250,Haider Khan,249,Male,42,Married,Frontend Developer,"1,60,000",Senior,3,35,141,15,2005,7,Very High,1,1,25,2/6/2023,Design a user friendly payment gateway,High,15/7/2022,4,318
251,Rebecca Sharma,250,Female,35,Married,R&D,"2,25,000",Senior,2,57,175,10,2017,10,Very High,1,3,33,12/10/2023,Analyze the latest market trends and technological advances in the field,Medium,7/11/2023,5,27
252,Hashim Ahmed,251,Male,44,Married,Backend Developer,"4,20,000",Senior,5,55,217,16,2005,6,High,1,3,36,5/7/2023,Design a secure user registration and login system with dynamic capabilities for storing and temporarily retrieving user data,High,15/7/2023,4,9
253,June D'Souza,252,Female,33,Married,HR,"1,20,000",Senior,2,23,221,7,2015,9,High,1,3,15,19/10/2023,Develop and implement strategies for well being and mental health workshops for employees,Medium,23/11/2023,2,35
254,Garima Ahuja,253,Female,29,Married,Backend Developer,"2,30,000",Senior,2,45,148,11,2011,9,High,2,3,32,9/11/2023,Develop and analyze server performance data for possible optimizations,Medium,17/11/2023,1,10
255,Rashmi Jobanputra,254,Female,32,Married,Backend Developer,"2,55,000",Senior,8,62,170,11,2009,7,High,4,1,33,20/9/2023,Develop a secure user registration and login system,High,31/8/2023,3,17
256,Ritika Verma,255,Female,33,Married,HR,"2,40,000",Senior,4,48,212,11,2009,9,Moderate,3,3,15,20/5/2023,Develop user onboarding flow and feedback collection system,Low,30/5/2023,2,8
257,[[Preeti Patel,256,Female,33,Married,Backend Developer,"2,25,000",Senior,3,55,144,11,2009,9,High,3,5,27,16/10/2023,Develop and implement database migration scripts across production environment,High,28/10/2023,4,7
258,Ryan Sharma,257,Male,27,Bachelor,Backend Developer,"2,20,000",Senior,4,52,224,5,2016,7,Moderate,3,2,45,15/9/2023,Develop a secure customer authentication system,High,30/10/2022,4,319
259,Ritu Kumar,258,Female,27,Married,Frontend Developer,"1,60,000",Senior,1,22,185,4,2017,8,Very High,2,4,12,22/2/2023,Design an AI-based chatbot for customer service,Medium,1/4/2023,1,42
260,Saswata Das,259,Male,55,Married,HR,"2,10,000",Senior,9,56,122,20,2002,6,Moderate,4,5,25,1/10/2023,Organizing corporate social responsibility programs for the company,Low,6/11/2022,2,327
261,Karishma Kapoor,260,Female,28,Married,HR,"1,40,000",Senior,4,45,231,5,2017,9,Very High,2,2,17,6/6/2023,Create recruitment system for all categories jobs offered in the company,Medium,13/8/2023,2,65
262,Vivek Kaushik,261,Male,35,Married,R&D,"1,70,000",Senior,6,48,180,11,2011,9,High,4,5,10,20/2/2024,Analyze and benchmark the tech stack for potential optimizations,High,1/3/2024,5,10
263,Jimmy Kaur,262,Female,32,Married,HR,"1,50,000",Senior,2,25,232,8,2014,6,High,1,2,8,23/9/2023,Implement a seamless onboarding process for new employees and conduct pre-employment assessments,Medium,28/9/2023,2,6
264,Ravina Shah,263,Female,46,Married,HR,"1,50,000",Senior,4,36,195,18,2002,9,Moderate,2,3,18,29/8/2023,Analyse employee data to identify potential areas of improvement and to draw insights,High,24/9/2023,2,22
265,Aneesha Manish,264,Female,48,Married,HR,"3,00,000",Senior,3,27,219,14,2009,8,High,2,3,15,16/7/2023,Develop a recognition program to monitor employee progress and engagement,Medium,30/7/2023,2,18
266,Neha Joshi,231,Female,36,Married,HR,"1,60,000",Senior,3,44,203,10,2014,9,High,2,2,20,11/10/2023,Design a robust employee recruitment program and process,Medium,1/12/2022,2,313
267,Malini Mahesh,265,Female,55,Married,HR,"1,60,000",Senior,4,48,225,19,2001,6,Very Low,4,3,8,28/11/2023,Develop a comprehensive onboarding program for improving employee engagement and productivity,Medium,28/12/2023,2,28
268,Kavya Singh,266,Female,28,Married,HR,"1,50,000",Senior,1,18,225,7,2019,9,High,2,1,15,14/11/2023,Design and implement a performance management system for the organization,Medium,15/12/2023,2,29
269,Amita Gupta,267,Female,65,Married,HR,"1,20,000",Senior,10,20,218,15,2000,7,Moderate,4,2,8,5/5/2022,Design and implement traincareer and skill development programs for employees,Low,7/7/2022,2,57
